,tconst,titleType,primaryTitle,originalTitle,startYear,endYear,averageRating,numVotes,seriesScore,seriesRank,episodeScore,episodeRank,totalRuntime,combinedMetric
17498,tt6429258,tvSeries,The High Court,The High Court,2017,2017,6.3,200,5.65,78886,5.933333333333334,27086,33,16.761666666666667
17499,tt0178145,tvMiniSeries,Joan of Arc,Joan of Arc,1999,1999,6.6,6297,5.83,70675,5.75,30226,211,16.76125
17500,tt0075543,tvSeries,The New Adventures of Batman,The New Adventures of Batman,1977,1978,6.8,1268,5.91,64635,5.671875,31304,352,16.760390625
17501,tt0068132,tvSeries,The Sixth Sense,The Sixth Sense,1972,1972,7.1,569,6.05,54957,5.5404,32670,1515,16.75971
17502,tt14218776,tvSeries,Everything's Trash,Everything's Trash,2022,2022,5.7,595,5.35,90390,6.265,17840,387,16.758875
17503,tt15575238,tvSeries,Game Theory with Bomani Jones,Game Theory with Bomani Jones,2022,2023,5.9,326,5.45,87204,6.15,21297,155,16.758750000000003
17504,tt0337776,tvSeries,Orgoglio,Orgoglio,2004,2006,7.3,111,6.15,47492,5.45,33319,39,16.758750000000003
17505,tt2438542,tvMiniSeries,The Hero Yoshihiko and the Key of the Evil Spirit,Yûsha Yoshihiko to Akuryô no Kagi,2012,2012,7.5,229,6.25,40251,5.3625,33931,320,16.7578125
17506,tt10150154,tvSeries,Don't,Don't,2020,2020,6.0,309,5.5,85228,6.09375,23196,310,16.7578125
17507,tt3894916,tvSeries,Terra Formars,Terra Formars,2014,2016,6.4,1274,5.7,76291,5.87962962962963,28231,642,16.756944444444446
17508,tt2650282,tvMiniSeries,My Villa,Vila-ye Man,2013,2013,6.4,3116,5.71,76171,5.869318181818182,28388,1702,16.75690340909091
17509,tt14032126,tvSeries,Hamlet,Hamlet,2021,2021,6.7,450,5.85,68111,5.728571428571429,30583,271,16.756071428571428
17510,tt0187635,tvSeries,Fantastic Four: The Animated Series,Fantastic Four,1994,1996,6.4,3830,5.71,76171,5.868076923076923,28407,552,16.753359615384614
17511,tt4269776,tvSeries,Birth of a Beauty,Birth of a Beauty,2014,2015,6.9,1141,5.95,61763,5.630952380952381,31722,1372,16.752083333333335
17512,tt0080269,tvSeries,Sanford,Sanford,1980,1981,6.7,410,5.85,68111,5.726923076923077,30593,1040,16.75125
17513,tt13865736,tvMiniSeries,Wolf 2039,Börü 2039,2021,2022,6.2,2049,5.61,80929,5.971666666666667,26311,232,16.750525
